row_id,date,customer_name,material_code,material_description,pick_qty,pick_uom,menu_type
0,2025-05-08,Gle0,602922,Salad Bar_Att,4.8,KG,LUNCH
1,2025-05-08,BAN1,600078,Aloo Mutter Samosa,160.0,EA,BQT LUNCH
2,2025-05-08,BAN1,600223,Bhel Puri,20.0,EA,BQT LUNCH
3,2025-05-08,BAN1,600753,Dahi Potato Puri,20.0,EA,BQT LUNCH
4,2025-05-08,BAN1,600788,Dahi Papdi Chaat,20.0,EA,BQT LUNCH
5,2025-05-08,BAN1,601545,Masala Puri,20.0,EA,BQT LUNCH
6,2025-05-08,BAN1,601611,Mint Chutney,1.6,KG,BQT LUNCH
7,2025-05-08,BAN1,601910,Pani Puri Khara,20.0,EA,BQT LUNCH
8,2025-05-08,BAN1,601912,Pani Puri Sweet,20.0,EA,BQT LUNCH
9,2025-05-08,BAN1,602265,Sev Puri,20.0,EA,BQT LUNCH
10,2025-05-08,BAN1,602426,Sweet Chutney,1.6,KG,BQT LUNCH
11,2025-05-08,Boe2,611381,Chur Muri Chat,85.0,KG,LUNCH
12,2025-05-08,Gre3,601921,Paneer Butter Masala - Cost Food,75.6,KG,DINNER
13,2025-05-08,Ind4,600752,Dahi Bhalla,15.0,EA,LUNCH
14,2025-05-08,Sam5,600078,Aloo Mutter Samosa,136.0,EA,LUNCH
15,2025-05-08,AMA6,600926,Garlic Veg Fried Rice,82.29,KG,LUNCH
16,2025-05-08,AMA6,602261,Sesame Chicken_Bone,8.44,KG,LUNCH
17,2025-05-08,D.E7,600927,Garlic Veg Fried Rice_Bs,9.66,KG,LUNCH
18,2025-05-08,Ind4,601479,Manchow Veg Soup,2.0,L,LUNCH
19,2025-05-08,McK8,600927,Garlic Veg Fried Rice_Bs,8.0,KG,LUNCH
20,2025-05-08,McK8,602713,Vegetable Manchurian,5.0,KG,LUNCH
21,2025-05-08,PEG9,602642,Veg Hakka Noodles,12.6,KG,LUNCH
22,2025-05-08,PEG9,612253,Soya Chilly,14.4,KG,LUNCH
23,2025-05-08,Pho10,601479,Manchow Veg Soup,182.25,L,LUNCH
24,2025-05-08,TOB11,601824,Okra Pepper Salt,24.9,KG,LUNCH
25,2025-05-08,UBE12,602499,Thai Green Curry_Veg,27.75,KG,BREAKFAST
26,2025-05-08,UBE12,602499,Thai Green Curry_Veg,31.45,KG,LUNCH
27,2025-05-08,Xia13,602661,Veg Noodles,38.7,KG,LUNCH
28,2025-05-08,AMA6,600992,Greek Salad_Bqt,54.86,KG,LUNCH
29,2025-05-08,AMA6,601017,Green Salad,164.58,KG,LUNCH
30,2025-05-08,AMA6,601093,Herb Roasted Potato,4.05,KG,BREAKFAST
31,2025-05-08,AMA6,603744,Cajun Tossed Vegetables,54.86,KG,LUNCH
32,2025-05-08,AMA6,612101,Boiled Millet,82.29,KG,LUNCH
33,2025-05-08,BAN1,600136,Australian Potato Salad,2.0,KG,BQT LUNCH
34,2025-05-08,BAN1,600431,Chick Peas Salad_Hc,1.04,KG,BQT LUNCH
35,2025-05-08,BAN1,600682,Crum Fried Chicken_Breast,1.04,KG,BQT LUNCH
36,2025-05-08,BAN1,600699,Cucumber Raita,4.0,L,BQT LUNCH
37,2025-05-08,BAN1,600722,Cut Fruits_Bqt,8.0,KG,BQT LUNCH
38,2025-05-08,BAN1,600740,Cut Pineapple,2.0,KG,BQT LUNCH
